Developer/Owner,Project Name,Project Type,Address,"TIF Amount (USD, NPV basis)",TIF Basis,TIF Cash-Basis Figure (USD),TIF % of Cost,TIF Structure,Total Project Cost (USD),Other Incentives,Status,Completion Date,Fiscal Horizon (yrs),Incentive Paid gross (USD),Net Taxes to Public (USD),Net Public Gain vs Baseline (USD),"Actual Rebate Paid to Developer (USD, Iowa DOM)",Actual Rebate Recipient (Iowa DOM),"Assessed Value (USD, Polk assessor)",Assessor Building Year,Assessor TIF District,Affordable Units,Total Units,Urban Renewal Area,Final Resolution #,Final Action,Final Approval Date,Disposition,Vote,Recusals,Confidence,Flags,Timeline,TIF Amount From,Cost From,Source URL,Source Page,Anchor Quote
"206 6th Avenue, LLC",Midland Building,Hotel,206 6th Avenue,4000000.0,unverified (no NPV stated in source),,10.1,Declining TIF rebate of project-generated increment: 100% yrs 1-5; 85% yrs 6-9; 80% yrs 10-12; 75% yrs 13-15; est. $4M cash / $2.9M NPV at 4.5%,39700000.0,"other $400,000 (State of Iowa Redevelopment (Grayfield) Tax Credit allocation)",completed,2021-12-20,,,,,161018.0,206 6th Avenue LLC,8700000.0,2010.0,DES MOINES METRO CENTER MERGED UR,,,Metro Center Urban Renewal Area,18-0358,approve development agreement,2018-03-08,withdrawn,6-1,,medium,figure_not_in_source;multi_meeting_project,2017-10-09: resolution of intent [17-1748] (approved) | 2018-02-19: approve development agreement [18-0288] | 2018-03-08: approve development agreement [18-0358] (withdrawn) | 2018-10-22: amend agreement [18-1758] (approved),2018-03-08,2018-03-08,https://councildocs.dsm.city/communications/2018/18-097.pdf,1,Total assistance is estimated at $4 million on a cash basis
Neighborhood Development Corporation (NDC),,Other,,,,,,,,,approved,,,,,,,,,,,,,,17-1963,other,2017-11-20,approved,7-0,,low,figure_not_in_source,2017-11-20: other [17-1963] (approved),,,https://councildocs.dsm.city/agendas/ag20171120.pdf,6,Collateral Assignment of Urban Renewal Development Agreement with Neighborhood Development Corporation
"322 E. Court, LLC and 317 E. Court, LLC",,Other,,,,,,,,,approved,,,,,,111443.0,317 E Court LLC,,,,,,,17-1896,other,2017-11-06,approved,7-0,,low,figure_not_in_source,2017-11-06: other [17-1896] (approved),,,https://councildocs.dsm.city/agendas/ag20171106.pdf,6,"Collateral Assignment of Urban Renewal Development Agreement with 322 E. Court, LLC"
"District at 6th, LLC",,Other,,,,,,,,,completed,2020-12-21,,,,,1050000.0,"Distric at 6th, LLC",,,,,,,17-1836,other,2017-10-23,approved,5-2,,low,figure_not_in_source,2017-10-23: other [17-1836] (approved),,,https://councildocs.dsm.city/agendas/ag20171023.pdf,6,Conditional approval of collateral assignment of Urban Renewal Development Agreement
"HRC NFS I, LLC and Hubbell Realty Company",Gray's Station,Residential,"vicinity of 1300 Tuttle Street (south of MLK Jr Pkwy, north of Raccoon River)",12523258.0,unverified (no NPV stated in source),,21.2,"project-generated TIF $12,523,258 over <=20 yrs; part of total assistance NPV $9,485,127",59000000.0,"economic development grant $3,000,000 (3 disbursements via interfund loan from Sanitary Sewer Enterprise, repaid by Metro Center TIF over ~12 yrs); economic development grant $2,477,482 (from Metro Center UR Area over 7 yrs)",approved,,,,,,2402909.0,Gray's Station,,,,,,Metro Center Urban Renewal Area,17-1408,approve development agreement,2017-08-14,approved,6-1,,high,amendment_number_discrepancy;figure_not_in_source;multi_meeting_project,2017-08-14: approve development agreement [17-1408] (approved) | 2018-11-05: resolution of intent [18-1859] (approved) | 2020-01-27: amend agreement [44] (approved) | 2025-12-22: amend agreement [25-1684] (approved),2017-08-14,2017-08-14,https://councildocs.dsm.city/communications/2017/17-603.pdf,2,"Project generated tax increment in the amount of $12,523,258"
"Raccoon Valley Investment Company, LC",Courtyard by Marriott hotel,Hotel,northeast corner of Fleur Drive and McKinley Avenue,,,,,"project-generated TIF rebate for 15 yrs or until UR plan expiration (2034), whichever sooner",13000000.0,,approved,,,,,,89543.0,Raccoon Valley Investments LLC,,,,,,Fleur Drive Commercial Urban Renewal Area,17-1060,approve development agreement,2017-06-26,approved,6-1,,medium,figure_not_in_source,2017-06-26: approve development agreement [17-1060] (approved),,2017-06-26,https://councildocs.dsm.city/communications/2017/17-505.pdf,1,project-generated tax increment for 15 years or until the expiration
Federal Home Loan Bank of Des Moines,FHLB headquarters relocation and expansion,Office,909 and 912 Locust Street,,,,,Economic Development Grant = 50% of new tax increment (less SSMID & debt-protected levies); 30 semi-annual installments,,"parking (20% discount off market-rate parking, up to 425 stalls in 9th & Locust Garage, 10 of 15-yr license)",completed,2019-10-14,,,,,1107048.0,Federal Home Loan Bank,2440100.0,,DES MOINES METRO CENTER MERGED UR,,,Metro Center Urban Renewal Area,17-0684,approve development agreement,2017-04-17,approved,7-0,,medium,figure_not_in_source;multi_meeting_project,2017-03-06: resolution of intent [17-0395] (approved) | 2017-04-17: approve development agreement [17-0684] (approved),,,https://councildocs.dsm.city/communications/2017/17-380.pdf,2,Economic Development Grant of 50% of the new tax increment
"Blackbird Investments, LLC",Fifth and Walnut Parking Garage redevelopment (hotel/residential tower),Parking,422 Walnut Street,,,,,"100% of project increment 20 yrs (residential tower, podium, parking deck); 90% 20 yrs (hotel); capped at yr-11 amount",,"forgivable loan $4,000,000 (economic development forgivable loan equal to $4M site purchase price); loan $28,500,000 (Parking Shortfall Loan; semi-annual advances over 20 yrs, total est. $28.5M (NPV $20.9M @3.5%), accrues 1% interest)",approved,,,,,,,,1511000.0,,DES MOINES METRO CENTER MERGED UR,,,Metro Center Urban Renewal Area,47,approve development agreement,2017-04-03,,,,low,figure_not_in_source;minutes_truncated;counterparty_changed_across_actions;multi_meeting_project,2017-03-20: approve development agreement [422] (withdrawn) | 2017-04-03: approve development agreement [47] | 2017-08-14: other [17-1377] (approved),,,https://councildocs.dsm.city/communications/2017/17-346.pdf,1,developer will purchase the site for $4 million and receive
"Cityville on 9th III, LLC (West Bank as financing party)",Cityville on 9th,Other,,,,,,,,economic development grant (Existing Cityville on 9th URDA incentives referenced; amounts not in provided text),approved,,,,,,,,,,,,,,16-2071,other,2016-12-05,approved,7-0,,medium,figure_not_in_source,2016-12-05: other [16-2071] (approved),,,https://councildocs.dsm.city/agendas/ag20161205.pdf,5,Consent to Collateral Assignment of the Amended and Restated Urban Renewal Development Agreement for the Cityville on 9th project
"HRC 6th Street, LLC",43-unit multi-family housing project at 550 Watson Powell Jr. Way,Residential,550 Watson Powell Jr. Way,,,,,,,economic development grant (URDA incentive expected; Council Communication 16-693 not retrieved (text unavailable)),approved,,,,,,,,8140000.0,2018.0,DES MOINES METRO CENTER MERGED UR,,43.0,,16-2101,approve development agreement,2016-12-05,,,,low,figure_not_in_source,2016-12-05: approve development agreement [16-2101],,,https://councildocs.dsm.city/agendas/ag20161205.pdf,8,"Urban Renewal Development Agreement with HRC 6th Street, LLC ... 43-unit multi-family housing project"
"Liberty Des Moines, L.L.C. (assignee, Schulte Hospitality Group); Liberty Building Historic Rehab, LLC / 418 Hospitality, LLC (assignors)",Liberty Building Rehabilitation & Parking Garage / Hyatt Place Hotel,Parking,418 6th Avenue,,,,,,,economic development grant (Existing Metro Center URDA economic development grant installments assigned to new owner; amount not stated in provided text),approved,,,,,,616084.0,Liberty Building Historic Rehab LLC,2415000.0,2008.0,DES MOINES METRO CENTER MERGED UR,,,Metro Center Urban Renewal Area,16-1530,other,2016-09-12,approved,7-0,,medium,figure_not_in_source,2016-09-12: other [16-1530] (approved),,,https://councildocs.dsm.city/communications/2016/16-501.pdf,1,assignment of Urban Renewal Development Agreement and Economic Development Grant payments
"M & R Holdings, LLC",Beaver Cove Townhomes,Residential,4209 Lower Beaver Road,,,,,,5700000.0,other (State WHTC benefit (amount not stated in provided text for this candidate)),approved,,,,,,,,,,,,38.0,,16-1410,other,2016-08-22,approved,5-1-1,,medium,figure_not_in_source;multi_meeting_project,2016-08-08: other [25] (continued) | 2016-08-22: other [16-1410] (approved),,2016-08-08,https://councildocs.dsm.city/agendas/ag20160822.pdf,7,38-unit bi-attached townhome development at 4209 Lower Beaver Road
"220 SE 6th Street Properties, LLC",220 SE 6th Street office building and parking structure (PDM Precast / GPS Impact),Parking,220 SE 6th Street,,,,,"Declining % of project-generated tax increment: 100% yrs 1-2, 95% yrs 3-5, 90% yrs 6-10, 85% yrs 11-12, 75% yrs 13-15, 50% yrs 16-20 (Metro Center TIF)",10700000.0,"economic development grant $200,000 ($200,000 grant paid upon completion of the Improvements); parking $94,500 (25-year City parking license for 60 spaces; $94,500 in year 1 ($125/stall + .05% admin fee); CPI escalation)",completed,2017-08-28,,,,,,,7140000.0,2016.0,DES MOINES METRO CENTER MERGED UR,,,Metro Center,16-1411,approve development agreement,2016-08-22,approved,5-1-1,,high,figure_not_in_source;multi_meeting_project,2016-08-22: approve development agreement [16-1411] (approved) | 2016-11-21: other [16-2000] (approved) | 2017-06-26: amend agreement [17-1061] (approved),,2016-08-22,https://councildocs.dsm.city/communications/2016/16-479.pdf,1,"a grant in the amount of $200,000 to be paid upon completion"
