Developer/Owner,Project Name,Project Type,Address,"TIF Amount (USD, NPV basis)",TIF Basis,TIF Cash-Basis Figure (USD),TIF % of Cost,TIF Structure,Total Project Cost (USD),Other Incentives,Status,Completion Date,Fiscal Horizon (yrs),Incentive Paid gross (USD),Net Taxes to Public (USD),Net Public Gain vs Baseline (USD),"Actual Rebate Paid to Developer (USD, Iowa DOM)",Actual Rebate Recipient (Iowa DOM),"Assessed Value (USD, Polk assessor)",Assessor Building Year,Assessor TIF District,Affordable Units,Total Units,Urban Renewal Area,Final Resolution #,Final Action,Final Approval Date,Disposition,Vote,Recusals,Confidence,Flags,Timeline,TIF Amount From,Cost From,Source URL,Source Page,Anchor Quote
Employers Mutual Casualty (EMC) Company,Urban Park Stairway Nodal Area at 701 Walnut Street,Office,701 Walnut Street,3500000.0,unverified (no NPV stated in source),,,"Declining % of project-generated TIF: <=90% yrs1-5, 85% yrs6-10, 80% yr11, 75% yrs12-13, 50% yrs14-15; increment paid above 50% capped at $3.5M NPV at 4.5%",,"economic development grant $211,000 (Not to exceed $211,000 (up to one-third of >$630,000 stairway cost); paid on Certificate of Occupancy)",approved,,,,,,50000.0,Employers Mutual Casualty Company,1340000.0,,DES MOINES METRO CENTER MERGED UR,,,Metro Center Urban Renewal Area,22-1687,approve development agreement,2022-10-24,approved,7-0,,high,multi_meeting_project,"2018-05-21: resolution of intent [18-0925, 18-0926] (approved) | 2022-10-24: approve development agreement [22-1687] (approved)",2018-05-21,,https://councildocs.dsm.city/communications/2022/22-496.pdf,1,"Amount: Not to exceed $211,000."
Nationwide Mutual Insurance Company,Nationwide/Allied Gateway Campus,Parking,1200 Locust Street; 1200 Mulberry Street,,,,,"Metro Center TIF payments: FY25-FY29 $697,500 annually, FY30 $622,500, FY31 $522,500",,,approved,,,,,,21862816.0,Nationwide Mutual Insurance Company,0.0,2008.0,,,,Metro Center Urban Renewal Area,22-1482,amend agreement,2022-09-12,,,,medium,multi_meeting_project,2022-09-12: amend agreement [22-1482] | 2022-09-12: other [22-1483] | 2023-08-07: other [23-1094] (approved),,,https://councildocs.dsm.city/communications/2022/22-434.pdf,1,"FY25-FY29: $697,500 annually"
"ONESPEED DSM, L.L.C.",303 Scott Avenue craft brewery,Other,303 Scott Avenue,670195.0,NPV (corrected from cash),949490.0,12.4,"95% of building increment for 15 yrs (project-generated) plus $38,000/yr for 10 yrs (non-project-generated, structured as forgivable loan); $949,490 cash / $670,195 NPV at 4.5%; 12.4% of costs",5400000.0,"forgivable loan $380,000 (non-project-generated Metro Center TIF: $38,000/yr for 10 yrs, released when tax receipts exceed incentive paid); grant (reimbursement grant for fair market value of vacated City right-of-way to be acquired)",completed,2023-08-07,30.0,949490.0,1246802.0,647986.0,,,2150000.0,2012.0,DES MOINES METRO CENTER MERGED UR,,,Metro Center Urban Renewal Area,22-1431,approve development agreement,2022-09-12,approved,7-0,,high,multi_meeting_project,2022-05-09: resolution of intent [22-0702] (approved) | 2022-09-12: approve development agreement [22-1431] (approved) | 2023-04-10: amend agreement [23-0494] (approved),2022-09-12,2022-09-12,https://councildocs.dsm.city/communications/2022/22-405.pdf,1,"total amount of TIF assistance is estimated at $949,490 on a cash basis"
"Union at River's Edge, LP (The Annex Group)",The Union at River's Edge,Residential,214 Jackson Avenue,2900000.0,NPV (corrected from cash),5063720.0,5.2,"project-generated economic development TIF grant yrs 9-17: 100% yrs 9-11, 95% yrs 12-15, 90% yrs 16-17; capped $2.9M NPV at 4.5%; $5,063,720 cash; 5.03% of costs",56100000.0,"tax abatement (10-year declining residential tax abatement (8-yr 100%, 60% yr 9, 40% yr 10)); other (seeking 4% housing tax credit from Iowa Finance Authority; all units restricted to 60% AMI)",completed,2026-06-08,30.0,5063720.0,16173402.0,15360195.0,,,0.0,,,216.0,216.0,Metro Center Urban Renewal Area,22-1256,resolution of intent,2022-08-08,approved,4-3,,high,,2022-08-08: resolution of intent [22-1256] (approved),2022-08-08,2022-08-08,https://councildocs.dsm.city/communications/2022/22-357.pdf,1,capped maximum amount of assistance at $2.9 million on a net present value
"Ashworth Development LLC (Center at Sixth, Marquas Ashworth)",Center at Sixth,Residential,1714 6th Avenue,1250000.0,NPV (corrected from cash),1800000.0,12.5,"project-generated TIF over 15 yrs: 80% yrs 1-15 on residential value, 90% yrs 1-15 on commercial value; ~$1.8M cash, capped $1.25M NPV at 4.5%; 12% of costs",10000000.0,"economic development grant $300,000 ($300,000 grant as required local match for Center at Sixth's IEDA Nonprofit Innovation Fund application; source ARPA or Metro Center TIF (Roll Call 22-1145))",approved,,30.0,1803111.0,4274672.0,4274672.0,300000.0,Center at 6th,,,,17.0,32.0,Metro Center Urban Renewal Area,22-1144,resolution of intent,2022-07-18,approved,7-0,,high,,2022-07-18: resolution of intent [22-1144] (approved),2022-07-18,2022-07-18,https://councildocs.dsm.city/communications/2022/22-346.pdf,1,"estimated at $1.8 million on a cash basis, capped at $1.25 million"
"Exodus Group Investments, LLC",Exodus distribution & light assembly warehouse,Industrial / warehouse,1717 East Army Post Road,5724899.0,NPV (corrected from cash),9016148.0,22.0,"reimbursement of 75% of project-generated increment yrs 4-14 and 50% in yr 15; not to exceed $9,016,148 NPV at 4.5% (~$5,724,899 cash)",25989600.0,tax abatement (developer will seek a 3-year 100% tax abatement),approved,,30.0,9016148.0,31580104.0,31530291.0,,,56120.0,,,,,East Army Post Road Urban Renewal Area,22-1146,resolution of intent,2022-07-18,approved,6-1,Mandelbaum passed on the vote,high,,2022-07-18: resolution of intent [22-1146] (approved),2022-07-18,2022-07-18,https://councildocs.dsm.city/communications/2022/22-350.pdf,1,"not to exceed $9,016,148 on a net-present-value (NPV)"
"McKinley Manor, LLC",,Other,,,,,,,,,approved,,,,,,,,,,,,,,22-1148,other,2022-07-18,approved,7-0,,low,,2022-07-18: other [22-1148] (approved),,,https://councildocs.dsm.city/agendas/ag20220718.pdf,7,"Termination of Urban Renewal Development Agreement with McKinley Manor, LLC"
Euclid Foresight LLC,413 Euclid Avenue (French Way Cleaners building),TIF district / UR plan,413 Euclid Avenue,540000.0,NPV (confirmed),,12.9,"declining scale of project-generated increment (90% yrs 1-5 down to 30% yr 20); capped $540,000 NPV at 4.5% (~$851,724 cash); ~13% of project costs",4200000.0,"grant $93,000 (Neighborhood Commercial Revitalization (NCR) program round 2 funding for facade/exterior/roof/HVAC/sprinkler/electrical/plumbing)",completed,2024-05-06,30.0,851724.0,1502320.0,1246907.0,,,221600.0,1924.0,DES MOINES OAK PARK-HIGHLAND PARK UR,1.0,4.0,Oak Park-Highland Park Urban Renewal Area,22-0963,approve development agreement,2022-06-13,,,,medium,multi_meeting_project,2021-06-28: other [21-0990] (approved) | 2022-05-09: resolution of intent [22-0701] (approved) | 2022-06-13: approve development agreement [22-0963],2022-06-13,2022-06-13,https://councildocs.dsm.city/communications/2022/22-274.pdf,1,"capped at $540,000 on a net-present-value (NPV) basis at a 4.5% discount rate"
"HOA EVMF, LLC",317 East 6th Street mixed-use apartments,Mixed-use,317 East 6th Street,2300000.0,unverified (no NPV stated in source),,10.8,"capped $2.3M NPV at 4.5% project-generated increment; 100% yrs 9-10, 90% yrs 11-14, 85% yrs 15-17, 75% yrs 18-20; 12.10% of financing",21260000.0,tax abatement (developer intends to file for 10-year declining residential tax abatement),completed,2024-07-15,30.0,4824132.0,11781828.0,9188704.0,,,24000000.0,2023.0,DES MOINES METRO CENTER MERGED UR,11.0,110.0,Metro Center Urban Renewal Area,22-0902,approve development agreement,2022-06-13,approved,6-1,,high,multi_meeting_project,2021-12-20: resolution of intent [21-1925] (approved) | 2022-06-13: approve development agreement [22-0902] (approved),2022-06-13,2022-06-13,https://councildocs.dsm.city/communications/2022/22-275.pdf,1,capped tax increment financing (TIF) maximum value of $2.3 million
"Swaps Cash, LLC",,Other,,,,,,,,,approved,,,,,,,,,,,,,,22-0903,other,2022-06-13,approved,6-1,,low,,2022-06-13: other [22-0903] (approved),,,https://councildocs.dsm.city/agendas/ag20220613.pdf,8,"Termination of Urban Renewal Development Agreement with Swaps Cash, LLC"
,,Residential,,,,,,local matches for several projects provided from previously-approved TIF economic development grants (see other_incentives),,"other $800,000 (Wade Investments, LLC WHTC (state) benefit; local match ~$435,000 via tax abatement; $8,000,000 project, 15 units, 1613 High Street); other $1,000,000 (Hoyt Investments, LLC WHTC benefit; local match ~$1,892,000 via tax abatement; $10,450,000 project, 47 units, 610 16th Street); other $1,000,000 (13th & Mulberry Multifamily, LLC WHTC benefit; local match ~$4.1M via TIF economic development grant; $19,000,320 project, 78 units); other $1,000,000 (1200 Keo Way, LLC WHTC benefit; local match ~$495,000 via tax abatement; $13,868,733 project, 36 units); other $486,000 (Neighborhood Development Corporation WHTC benefit; local match ~$670,000 via tax abatement; $7,275,000 project, 24 units, 2211 University Avenue); other $1,000,000 (Park Indy, LLC WHTC benefit; local match ~$1,012,500 via tax abatement; $10,267,141 project, 40 units, 3140 Indianola Avenue); other $1,000,000 (SW9 215, LLC WHTC benefit; local match ~$1,800,000 via tax abatement; $12,000,000 project, 51 units, 215 SW 9th Street); other $266,320 (Hubbell Realty WHTC benefit; local match ~$280,000 via tax abatement; $2,663,200 project, 10 units); other $60,000 (Conlin Development Group WHTC benefit; local match ~$150,000 via tax abatement; $914,399 project, 4 units, 826 18th Street); other $225,000 (Euclid Avenue Rowhomes, LLC WHTC benefit; local match ~$273,800 via tax abatement; $2,600,000 project, 17 units, 216 Euclid Avenue); other $1,000,000 (EV Mixed Use, LLC WHTC benefit; local match ~$2,808,842 tax abatement + $2,041,945 TIF economic development grant; $29,931,758 project, 132 units, 418 E. Grand Avenue); other $1,000,000 (300 MLK Lofts Partners, LLC WHTC benefit; local match ~$2,500,000 via tax abatement; $19,000,000 project, 78 units, 300 MLK Jr. Blvd); other $300,000 (Star Apartments, LLC WHTC benefit; local match ~$540,000 via tax abatement; $4,040,131 project, 20 units, 2701 Ingersoll Avenue); other $1,000,000 (216 E. Court, LLC WHTC benefit; local match ~$2,616,000 via tax abatement; $12,421,742 project, 64 units, 216 E. Court Avenue); other $855,270 (Christensen Development 1, LLC WHTC benefit; local match ~$1,813,630 via tax abatement; $8,810,345 project, 46 units, 509 SE 6th Street)",approved,,,,,,,,,,,,,,22-0906 to 22-0920,other,2022-06-13,approved,6-1,,medium,,2022-06-13: other [22-0906 to 22-0920] (approved),,,https://councildocs.dsm.city/communications/2022/22-262.pdf,1,"Workforce Housing Tax Credit benefits estimated at $10,542,590"
"201, LLC; MCP Subsidiary #1, LLC",,Other,201 East 2nd Street,,,,,,,,approved,,,,,,2283766.0,201 LLC,,,,,,,22-0612,other,2022-04-18,approved,7-0,,low,,2022-04-18: other [22-0612] (approved),,,https://councildocs.dsm.city/agendas/ag20220418.pdf,6,"Assignment of Development Agreement between 201, LLC and MCP Subsidiary #1, LLC"
"Ballyard Lofts; MCP Subsidiary #2, LLC",Ballyard Lofts,Residential,350 SW 2nd Street,,,,,,,,approved,,,,,,,,6860000.0,2013.0,DES MOINES METRO CENTER MERGED UR,,,,22-0613,other,2022-04-18,approved,7-0,,low,,2022-04-18: other [22-0613] (approved),,,https://councildocs.dsm.city/agendas/ag20220418.pdf,6,Assignment of Development Agreement between Ballyard Lofts and MCP Subsidiary #2
Meridian at Gray's Landing LLC and River Point West LLC,The Meridian,Residential,northeast corner of SW 11th Street and Murphy Street,641456.0,NPV (confirmed),,,"percentage of project-generated TIF per Parcel Development Agreement; $641,456 NPV over 3 years; within $2.8M Gray's Landing master cap through June 30, 2036",,"tax abatement (10 years residential tax abatement, declining: 8 years 100%, then 60%, 40%)",approved,,,,,,,,,,,,174.0,Gray's Landing,22-0614,approve development agreement,2022-04-18,approved,7-0,,medium,,2022-04-18: approve development agreement [22-0614] (approved),2022-04-18,,https://councildocs.dsm.city/communications/2022/22-187.pdf,2,"allocated $641,456 (NPV) of project-generated TIF for this project"
"NMDP Holdings, LLC (Adam Petersen, President)",Industrial precast production plant expansion,Industrial / warehouse,3312 East Granger Avenue,275000.0,unverified (no NPV stated in source),,6.5,"Economic development grant up to $275,000 cash reimbursing fire suppression sprinkler system, reimbursed by SE Agribusiness TIF; paid on certificate of completion",4250000.0,"economic development grant $275,000 (Reimbursement for fire suppression sprinkler system; same $275,000 as tif.amount_usd (TIF-reimbursed grant, not additive))",approved,,30.0,275000.0,8456507.0,3044986.0,2589517.0,PDM PRECAST INC,8410000.0,2005.0,DES MOINES SE AGRI BUSINESS PARK UR,,,SE Agribusiness,22-0338,approve development agreement,2022-03-07,approved,7-0,,high,counterparty_changed_across_actions;multi_meeting_project,2021-10-18: resolution of intent [21-1564] (approved) | 2022-03-07: approve development agreement [22-0338] (approved),2022-03-07,2022-03-07,https://councildocs.dsm.city/communications/2022/22-106.pdf,1,"tax-increment financing incentives of up to $275,000 on a cash basis"
"Merge, LLC (Merge Urban Development; Brent Dahlstrom)",Merge/Drake University mixed-use development (Phase 1),Mixed-use,southeast corner of 25th Street and Carpenter Avenue,3567968.0,NPV (corrected from cash),5069527.0,16.2,"90% of project-generated tax increment (exclusive of land) for 15 years; est. $5,069,527 cash / $3,567,968 NPV at 4.5%; ~14.01% of total project costs",22000000.0,,approved,,,,,,,,,,,24.0,120.0,Carpenter,22-0337,approve development agreement,2022-03-07,approved,7-0,,high,counterparty_changed_across_actions;multi_meeting_project,2021-12-20: resolution of intent [21-1937] (approved) | 2022-03-07: approve development agreement [22-0337] (approved),2022-03-07,2022-03-07,https://councildocs.dsm.city/communications/2022/22-105.pdf,1,"90% of project-generated tax increment ... approximately $5,069,527 ($3,567,968 net present value"
"Bronson Partners, LLC (Tim Rypma)",1417 Walnut Street mixed-use (renovation),Mixed-use,1417 Walnut Street,,,,,Amendment limits remaining TIF incentives to the commercial portion only; adds language allowing sale/conversion of upper-story rental units to owner-occupied condominiums; no financial change,,,approved,,,,,,150710.0,Bronson Partners,3890600.0,2015.0,DES MOINES METRO CENTER MERGED UR,,,,22-0335,amend agreement,2022-03-07,approved,7-0,,high,,2022-03-07: amend agreement [22-0335] (approved),,,https://councildocs.dsm.city/communications/2022/22-080.pdf,1,limiting all remaining tax increment financing incentives to the commercial portion of the project only
"Macerich Southridge Mall, LLC and The Macerich Partnership, LP; Genesis Health Clubs Sports Complex S.E. LLC (Rodney Steven II)",Southridge Mall Genesis Health Club and Multi-Sports Facility,Retail / restaurant,1111 East Army Post Road,9600000.0,NPV (confirmed),,58.2,No change to previously approved TIF financial assistance; previously approved TIF incentives assigned from Macerich to Genesis via Assignment and Assumption,16500000.0,,approved,,30.0,15499986.0,1985630.0,618886.0,2659064.0,The Macerich Partnership LP,11510000.0,1975.0,DES MOINES SOUTHSIDE ECONOMIC DEVELOPMENT UR,,,Southside,21-1956,amend agreement,2021-12-20,approved,7-0,,medium,multi_meeting_project,2020-08-17: amend agreement [20-1334] (approved) | 2021-12-20: amend agreement [21-1956] (approved),2020-08-17,2020-08-17,https://councildocs.dsm.city/communications/2021/21-562.pdf,2,"increases the total amount of scholarships and subsidies ... $3,075,000"
Landus Cooperative,Landus headquarters and innovation center relocation,Office,220 SW 9th Street,,,,,"$250,000 forgivable loan; Year 1 advanced from Economic Development Enterprise Fund reimbursed by Metro Center tax increment, Years 2-5 paid with Metro Center TIF",,"forgivable loan $250,000 ($50,000 in each of 5 annual installments over the first 5 years of a 10-year lease; forgiven based on meeting/exceeding 1,000 hotel room stays per year)",approved,,,,,,50000.0,Landus Cooperative,13900000.0,2020.0,DES MOINES METRO CENTER MERGED UR,,,Metro Center,21-1927,approve development agreement,2021-12-20,approved,7-0,,high,multi_meeting_project,2021-11-15: resolution of intent [21-1730] (approved) | 2021-12-20: approve development agreement [21-1927] (approved),,,https://councildocs.dsm.city/communications/2021/21-575.pdf,1,"$250,000 forgivable loan, to be paid in five (5) annual installments of $50,000"
Greater Des Moines Botanical Garden (GDMBG),Botanical Center (corrected Third Amendment and Restated UR Development Agreement),Other,,,,,,"Economic development grants funded by Metro Center tax increment; existing $2M (2013) extended and additional $2.5M added; total EDG $2.9M payable in 18 semi-annual installments through June 1, 2030, tied to GDMBG qualifying investment",,,approved,,,,,,,,,,,,,Metro Center,21-1826,amend agreement,2021-12-06,approved,7-0,,low,figure_not_in_source;multi_meeting_project,2021-11-15: amend agreement [21-1755] (approved) | 2021-12-06: amend agreement [21-1826] (approved),,,https://councildocs.dsm.city/minutes/as20211206.pdf,8,corrected Third Amendment and Restated Urban Renewal Development Agreement with the Greater Des Moines Botanical Garden
Slate at Gray's Landing LLC (Sherman Associates),The Slate,Residential,southwest corner of SW 11th Street and Tuttle Street,,,,,"After 10 years of tax abatement, project receives a percentage of TIF back (percentage per Parcel Development Agreement); payments Dec 2032-June 2036; $2.8M TIF cap under Master Development Agreement through 6/30/2036",30000000.0,tax abatement (10-year tax abatement before TIF rebate begins),approved,,,,,,,,,,,,129.0,Gray's Landing Development Area,21-1420,approve development agreement,2021-09-13,approved,6-1,,medium,figure_not_in_source;multi_meeting_project,2021-09-13: approve development agreement [21-1420] (approved) | 2023-09-11: amend agreement [23-1258] (approved),,2021-09-13,https://councildocs.dsm.city/communications/2021/21-394.pdf,2,The Slate will be receiving a percentage of TIF back
"Bell Avenue Properties, Inc. (Thomas Koehn, President)",Waldinger Corporation headquarters,Office,6200 Scout Trail,,,,,"$40,000 grant initially from Economic Development Enterprise Account, reimbursed from Southwest Gateway TIF District cash revenues",,"economic development grant $40,000 (Supplemental economic development grant to cost-share water pressure booster/fire pump remedy (total remedy cost >$120,000))",approved,,,,,,40000.0,"Bell Ave Properties, Inc",25200000.0,2019.0,DES MOINES SOUTHWEST GATEWAY UR,,,Southwest Gateway Urban Renewal Area,21-1333,amend agreement,2021-08-23,approved,7-0,,high,,2021-08-23: amend agreement [21-1333] (approved),,,https://councildocs.dsm.city/communications/2021/21-373.pdf,2,"Payment of a $40,000 supplemental economic development grant"
"TB, LC",Thomas Beck Brownstones Project,Residential,1328 Thomas Beck Road,,,,,,8800000.0,"other $660,000 (Estimated Workforce Housing Tax Credit (WHTC) state benefit); tax abatement $1,051,380 (Local match provided from tax abatement)",approved,,,,,,,,,,,,44.0,,21-1129,other,2021-07-19,approved,7-0,,high,,2021-07-19: other [21-1129] (approved),,2021-07-19,https://councildocs.dsm.city/communications/2021/21-338.pdf,2,"TB, LC - $660,000 estimated WHTC benefit"
"ILEX Group, Inc. and JE Northridge 2021, LLC (Ben Schultes)","Two spec warehouse buildings (Buildings B and C, Northridge site)",Industrial / warehouse,Vicinity of 4600 NE 14th Street,4300997.0,NPV (as extracted; CC NPV differs),,14.8,100% project-generated TIF on building valuations (exclusive of land) for 5 years after a 10-year graduated commercial tax abatement; est. $4.3M cash / $3.1M NPV; capped at $3.1M NPV,29000000.0,tax abatement (10-year graduated commercial tax abatement),approved,,30.0,4300997.0,34585064.0,32027726.0,,,,,,,,Northeast Gateway 1 Urban Renewal Area,21-0983,approve development agreement,2021-06-28,approved,7-0,,high,counterparty_changed_across_actions;multi_meeting_project,2021-04-05: resolution of intent [21-0544] (approved) | 2021-06-28: approve development agreement [21-0983] (approved),2021-06-28,2021-06-28,https://councildocs.dsm.city/communications/2021/21-290.pdf,1,total Tax Increment Finance (TIF) assistance is estimated at $4.3 million
"Urban Campus Apartments L.L.L.P. (Jack Hatch, Michael Kiernan)",Sixth Avenue Flats (42-unit multi-family),Residential,1230 6th Avenue,,,,,"Forgivable loan sized as equivalent to 100% of project-generated TIF in years 9-15, NPV at 4.5%",9200000.0,"forgivable loan $164,000 ($164,000 forgivable loan, equivalent to 100% of project-generated TIF years 9-15 (NPV at 4.5%); issued at certificate of completion); tax abatement (Eligible for multi-family residential tax abatement schedule 4D; local WHTC match); other $220,000 (Support for Workforce Housing Tax Credit application to IEDA, est. $220,000 benefit (CC 21-306, roll call 21-0982))",approved,,30.0,164000.0,1187103.0,1044490.0,164000.0,Urban Campus Aprartments LLP,776800.0,2021.0,DES MOINES METRO CENTER MERGED UR,,42.0,Metro Center Urban Renewal Area,21-0981,approve development agreement,2021-06-28,approved,7-0,,high,multi_meeting_project,2021-05-10: resolution of intent [21-0703] (approved) | 2021-06-28: approve development agreement [21-0981] (approved),,2021-06-28,https://councildocs.dsm.city/communications/2021/21-285.pdf,1,"forgivable loan in the amount of $164,000, which is equivalent to 100%"
"SW9 215, LLC (Kris Saddoris, Hubbell Realty Company)","215 SW 9th (5-story, 66-unit multi-family)",Residential,215 SW 9th Street,1100000.0,NPV (corrected from cash),2014435.0,8.5,"Declining-scale project-generated TIF over ~8 years: 100% years 9-13, 95% year 14, 90% years 15-16; est. $2M cash; capped at $1.1M NPV at 4.5%",12960000.0,"forgivable loan $170,000 (Economic development forgivable loan of $170,000 (value of site portion without federal encumbrance)); tax abatement (10-year declining residential tax abatement (100% yrs 1-8, 60% yr 9, 40% yr 10); local WHTC match est. $1,892,000); other $1,000,000 (Support for Workforce Housing Tax Credit application to IEDA, est. $1,000,000 benefit (CC 21-306, roll call 21-0979)); land conveyance (Developer purchases portion of City-owned property at $16.07/sq ft; land sale proceeds $480,000 to reimburse SE Connector Project)",approved,,30.0,2014435.0,7220226.0,7220226.0,,,0.0,,,7.0,66.0,Metro Center Urban Renewal Area,21-0978,resolution of intent,2021-06-28,approved,7-0,,medium,,2021-06-28: resolution of intent [21-0978] (approved),2021-06-28,2021-06-28,https://councildocs.dsm.city/communications/2021/21-304.pdf,1,total amount of TIF assistance is estimated at $2 million on a cash basis
"Merle Hay Investors, LLC and Merle Hay Anchors, LLC (Elizabeth Holland)",Merle Hay Mall Phase 2 redevelopment (Kohl's / Flix),Retail / restaurant,"Merle Hay Mall, Merle Hay Road and Douglas Avenue",400000.0,unverified (no NPV stated in source),,,"Adds two additional $200,000 TIF payments (due Nov 1, 2030 and May 1, 2031) to the Phase 2 agreement; up to $400,000/yr max from Merle Hay TIF; subject to increment availability",,,approved,,,,,,4105853.0,Merle Hay Mall,,,,,,Merle Hay Mall (Commercial) Urban Renewal Area,21-0984,amend agreement,2021-06-28,approved,7-0,,high,,2021-06-28: amend agreement [21-0984] (approved),2021-06-28,,https://councildocs.dsm.city/communications/2021/21-284.pdf,1,"two (2) additional payments of $200,000 each be approved"
"Merge, LLC / Merge Urban Development Group (Brent Dahlstrom)",Dogtown Mixed Use Project (120-unit multi-family),TIF district / UR plan,25th Street and Carpenter Avenue,,,,,No Urban Renewal Area or TIF District exists in this location,20000000.0,"grant $120,000 (Contingent use of $120,000 from Economic Development Enterprise Fund as WHTC local match ($1,000/unit), paid after completion; contingent on WHTC award and no URA/TIF/dev agreement being created); other $1,000,000 (Support for Workforce Housing Tax Credit application to IEDA, est. $1,000,000 benefit (CC 21-306, roll call 21-0987))",approved,,,,,,,,,,,,120.0,Carpenter,21-0986,other,2021-06-28,approved,7-0,,medium,multi_meeting_project,2021-06-28: other [21-0986] (approved) | 2022-02-07: ordinance [22-0194] (approved),,2021-06-28,https://councildocs.dsm.city/communications/2021/21-282.pdf,1,"contingent use of $120,000 from the Economic Development Enterprise Fund"
"DEV Partners c/o HOM Investments 6, LLC",Concord Project,Residential,732 and 740 18th Street,,,,,,1500000.0,"other $150,000 (Estimated Workforce Housing Tax Credit (WHTC) state benefit); tax abatement $106,260 (Local match provided from tax abatement)",approved,,,,,,,,1090000.0,2000.0,,,43.0,,21-0988,other,2021-06-28,approved,7-0,,high,,2021-06-28: other [21-0988] (approved),,2021-06-28,https://councildocs.dsm.city/communications/2021/21-306.pdf,2,"DEV Partners c/o HOM Investments 6, LLC - $150,000 estimated WHTC benefit"
"Hilltop Housing, LLC (J.B. Conlin, Conlin Properties)",Hilltop III Apartments (42-unit family) and Hilltop IV Senior Housing (42-unit senior),Residential,Vicinity of 3600 Hubbell Avenue,641011.0,NPV (corrected from cash),816315.0,3.7,"6-year, 100% project-generated TIF economic development grant; $641,011 NPV at 4.5%; 3.7% of project costs; cumulative across both phases",17100000.0,,approved,,30.0,816315.0,4770118.0,4020856.0,,,,,,,84.0,Hilltop Urban Renewal Area,21-0624,approve development agreement,2021-04-19,approved,7-0,,high,multi_meeting_project,2021-02-22: resolution of intent [21-0277] (approved) | 2021-04-19: approve development agreement [21-0624] (approved) | 2024-02-05: amend agreement [24-0187] (approved) | 2025-02-10: amend agreement [25-0190] (approved),2021-04-19,2021-04-19,https://councildocs.dsm.city/communications/2021/21-189.pdf,1,"6-year, 100% project-generated tax increment financing (TIF) economic development grant"
"Stapek Partners, LLC (Tim Rypma)",Historic renovation of 112 SE 4th Street (Central Oil Works / Garden Nightclub),Mixed-use,112 SE 4th Street,541707.0,NPV (corrected from cash),847487.0,8.6,"~$847,487 project-generated TIF on a cash basis; $541,707 NPV at 4.5%; 95% years 1-10, 85% years 11-15",6300000.0,"tax abatement $121,073 (10-year declining residential tax abatement on third-story units, estimated abated value $121,073); other (Seeking State and Federal Historic Tax Credits)",completed,2022-01-10,30.0,847487.0,2159272.0,1663621.0,,,,,,1.0,4.0,Metro Center Urban Renewal Area,21-0543,approve development agreement,2021-04-05,approved,7-0,,high,multi_meeting_project,2021-02-08: resolution of intent [21-0202] (approved) | 2021-04-05: approve development agreement [21-0543] (approved) | 2024-12-23: amend agreement [24-1730] (approved),2021-04-05,2021-04-05,https://councildocs.dsm.city/communications/2021/21-155.pdf,1,"$847,487 in project generated tax increment on a cash basis"
,Second Amendment to 38th and Grand Urban Renewal Plan (TIF District No. 2),TIF district / UR plan,38th and Grand Urban Renewal Area,,,,,Adds 38th and Grand TIF District No. 2; no direct fiscal impact from amendment,,,approved,,,,,,,,,,,,56.0,38th and Grand Urban Renewal Area,21-0574,ordinance,2021-04-05,approved,7-0,,medium,multi_meeting_project,2020-11-09: other [20-1839] (approved) | 2021-04-05: ordinance [21-0574] (approved),,,https://councildocs.dsm.city/communications/2021/21-147.pdf,1,no direct fiscal impact associated with the approval of the 2nd Amendment
"McKinley Manor, LLC (d/b/a Percy's Landing Senior, LP; JB Conlin, Conlin Properties)",Percy's Landing (senior housing conversion of former Percy Hoak Elementary),Residential,1801 McKinley Avenue,377588.0,NPV (corrected from cash),507940.0,8.4,"Cumulative economic development grants: $180,000 non-project-generated ($30,000/yr x 6 yrs from Fleur Drive Commercial TIF District) + $327,940 project-generated (10-yr, 100%); $507,940 cash / $377,588 NPV at 4.5%; 8.4% of project costs",4500000.0,,approved,,30.0,507940.0,1323226.0,717339.0,,,532100.0,1960.0,DES MOINES FLEUR DRIVE COMMERCIAL UR,,20.0,Fleur Drive Commercial Urban Renewal Area,21-0542,approve development agreement,2021-04-05,approved,7-0,,high,,2021-04-05: approve development agreement [21-0542] (approved),2021-04-05,2021-04-05,https://councildocs.dsm.city/communications/2021/21-167.pdf,1,"estimated cumulative value of the assistance is $507,940 on a cash value basis"
,"First Amendment to Oak Park-Highland Park Urban Renewal Plan (TIF Districts 1, 2, 3)",TIF district / UR plan,Oak Park-Highland Park Urban Renewal Area,,,,,"Creates TIF District Nos. 1, 2, and 3; no direct fiscal impact from amendment",,,approved,,,,,,,,,,,,,Oak Park-Highland Park Urban Renewal Area,21-0567,ordinance,2021-04-05,approved,7-0,,medium,,2021-04-05: ordinance [21-0567] (approved),,,https://councildocs.dsm.city/communications/2021/21-146.pdf,1,no direct fiscal impact associated with the approval of the 1st Amendment
,Hilltop Urban Renewal Plan and TIF District,TIF district / UR plan,3500-3600 block of Hubbell Avenue at E. Douglas Avenue and Kennedy Drive,,,,,Creates TIF district; 20-year duration under Iowa law; no direct fiscal impact from plan adoption,,,approved,,,,,,,,,,,,84.0,Hilltop Urban Renewal Area,21-0496,ordinance,2021-03-22,approved,7-0,,medium,,2021-03-22: ordinance [21-0496] (approved),,,https://councildocs.dsm.city/communications/2021/21-145.pdf,1,no direct fiscal impact associated with the approval of the Hilltop Urban Renewal Plan
